ivid,household,male,female
TPQ-010-001,671,821,879
TPQ-010-002,646,739,841
TPQ-010-003,319,424,432
TPQ-010-004,471,632,655
TPQ-010-005,756,921,976
TPQ-010-006,2261,2792,2938
TPQ-010-007,1456,1616,1748
TPQ-010-008,4429,4909,3915
TPQ-010-009,1585,2317,2326
TPQ-010-010,1627,2366,2347
TPQ-010-011,2021,2686,2737
TPQ-010-012,1083,1477,1544
TPQ-010-013,1098,1436,1443
TPQ-010-014,1558,1952,1977
TPQ-010-015,1077,1434,1594
TPQ-010-016,1455,2080,2151
TPQ-010-017,1916,2555,2636
TPQ-010-018,1081,1396,1423
TPQ-010-019,1424,1915,1975
TPQ-010-020,1744,2320,2447
TPQ-010-021,1470,2070,2142
TPQ-010-022,1762,2361,2451
TPQ-010-023,1518,2178,2176
TPQ-010-024,1624,2040,2147
TPQ-010-025,968,1267,1386
TPQ-010-026,1205,1581,1752
TPQ-010-027,865,1121,1172
TPQ-010-028,2921,3441,3921
TPQ-010-029,1851,2579,2642
TPQ-010-030,2049,2790,2897
TPQ-010-031,2387,3146,3233
TPQ-010-032,1633,1821,2067
TPQ-010-033,2124,2469,2622
TPQ-010-034,1092,1543,1620
TPQ-010-035,3091,4067,4402
TPQ-010-036,1369,1993,2004
TPQ-010-037,2629,3729,3870
TPQ-010-038,1124,1588,1665
TPQ-010-039,1952,2581,2679
TPQ-010-040,1410,1826,1904
TPQ-010-041,1681,2046,2163
TPQ-010-042,1974,2599,2751
TPQ-010-043,1380,1925,2046
TPQ-010-044,4185,5098,5647
TPQ-010-045,968,1367,1341
TPQ-010-046,1594,2095,2160
TPQ-010-047,1164,1665,1544
TPQ-010-048,2219,3194,3269
TPQ-010-049,574,782,734
TPQ-010-050,2422,3312,3262
TPQ-010-051,1636,2328,2330
TPQ-010-052,1614,2207,2202
TPQ-010-053,1243,1687,1650
TPQ-010-054,2541,3164,3420
TPQ-010-055,982,1464,1481
TPQ-010-056,1245,1752,1727
TPQ-010-057,2903,4284,4763
TPQ-010-058,1073,1527,1622
TPQ-010-059,2132,2775,3058
TPQ-010-060,1035,1595,1657
TPQ-010-061,1651,2197,2358
TPQ-010-062,1400,1848,1884
TPQ-010-063,1524,2103,2226
TPQ-010-064,1265,1914,1932
TPQ-010-065,3517,4275,4658
TPQ-010-066,1485,2065,2215
TPQ-010-067,1079,1487,1506
TPQ-010-068,1703,2505,2586
TPQ-010-069,1696,2442,2570
TPQ-010-070,1990,2097,2426
TPQ-010-071,1585,2021,2276
TPQ-010-072,1593,2363,2481
TPQ-010-073,1461,1869,2049
TPQ-010-074,1936,2766,2731
