"SITE_CODE","SITE","HSCITY","DISTRICT","SITE_NORTH_LAT","SITE_EAST_LONG","SITE_ENG","HSCITY_ENG"
1,基隆,基隆市,信 義 區,"25,07,45","121,45,36.2",Keelung,KeeLung City
2,汐止,新北市,汐 止 區,"25,04,01.67","121,38,32.28",Xizhi,New Taipei City
3,萬里,新北市,萬 里 區,"25,10,46.8","121,41,23.57",Wanli,New Taipei City
4,新店,新北市,新 店 區,"24,58,38","121,32,16",Xindian,New Taipei City
5,土城,新北市,土 城 區,"24,58,57.1","121,27,06.7",Tucheng,New Taipei City
6,板橋,新北市,板 橋 區,"25,00,46.7","121,27,31.2",Banqiao,New Taipei City
7,新莊,新北市,新 莊 區,"25,02,16.7","121,25,57",Xinzhuang,New Taipei City
8,菜寮,新北市,三 重 區,"25,04,8.22","121,28,51.70",Cailiao,New Taipei City
9,林口,新北市,林 口 區,"25,04,37.91","121,22,36.73",Linkou,New Taipei City
10,淡水,新北市,淡 水 區,"25,09,52.20","121,26,57.26",Tamsui,New Taipei City
11,士林,台北市,北 投 區,"25,06,19.5","121,30,55.4",Shilin,Taipei City
12,中山,台北市,中 山 區,"25,03,44.5","121,31,35.5",Zhongshan,Taipei City
13,萬華,台北市,萬 華 區,"25,02,47.41","121,30,28.70",Wanhua,Taipei City
14,古亭,台北市,古 亭 區,"25,01,14.19","121,31,46.40",Guting,Taipei City
15,松山,台北市,松 山 區,"25,03,02.5","121,34,42.8",Songshan,Taipei City
16,大同,台北市,大 同 區,"25,03,47.52","121,30,47.92",Datong,Taipei City
17,桃園,桃園縣,桃 園 市,"24,59,41.24","121,19,11.87",Taoyuan,TaoYuan County 
18,大園,桃園縣,大 園 鄉,"25,03,37.24","121,12,6.52",Dayuan,TaoYuan County 
19,觀音,桃園縣,觀 音 鄉,"25,02,7.81","121,04,57.94",Guanyin,TaoYuan County 
20,平鎮,桃園縣,平 鎮 市,"24,57,10.03","121,12,14.35",Pingzhen,TaoYuan County 
21,龍潭,桃園縣,龍 潭 鄉,"24,51,49.93","121,12,58.86",Longtan,TaoYuan County 
22,湖口,新竹縣,湖 口 鄉,"24,54,00.51","121,02,19.15",Hukou,HsinChu County 
