OBJECTID_1,COUNTY,COUNTY_ID,TOWN,TOWN_ID,VILLAGE,VILLAGE_ID,V_ID,TV_ALL,VILLCODE,AREA
1,嘉義市,10020,東區,10020010,中山里,061,10020010-061,東區中山里,A2001-061-00,230686.7713
2,嘉義市,10020,西區,10020020,後驛里,064,10020020-064,西區後驛里,A2002-064-00,363016.3922
3,嘉義市,10020,東區,10020010,東川里,038,10020010-038,東區東川里,A2001-038-00,630623.1991
4,嘉義市,10020,西區,10020020,番社里,061,10020020-061,西區番社里,A2002-061-00,170099.1641
5,嘉義市,10020,東區,10020010,中央里,062,10020010-062,東區中央里,A2001-062-00,194986.9182
6,嘉義市,10020,東區,10020010,東興里,060,10020010-060,東區東興里,A2001-060-00,215453.5162
7,嘉義市,10020,西區,10020020,福全里,016,10020020-016,西區福全里,A2002-016-00,510216.0467
8,嘉義市,10020,西區,10020020,港坪里,019,10020020-019,西區港坪里,A2002-019-00,1272789.4198
9,嘉義市,10020,東區,10020010,華南里,059,10020010-059,東區華南里,A2001-059-00,234277.5592
10,嘉義市,10020,西區,10020020,頭港里,020,10020020-020,西區頭港里,A2002-020-00,2374787.6855
11,嘉義市,10020,東區,10020010,荖藤里,001,10020010-001,東區荖藤里,A2001-001-00,1849121.0719
12,嘉義市,10020,東區,10020010,後湖里,002,10020010-002,東區後湖里,A2001-002-00,1954044.7712
13,嘉義市,10020,西區,10020020,北新里,070,10020020-070,西區北新里,A2002-070-00,2151704.0765
14,嘉義市,10020,西區,10020020,北湖里,012,10020020-012,西區北湖里,A2002-012-00,2464133.661
15,嘉義市,10020,東區,10020010,後庄里,036,10020010-036,東區後庄里,A2001-036-00,2074307.2537
16,嘉義市,10020,西區,10020020,竹村里,014,10020020-014,西區竹村里,A2002-014-00,1969431.7143
17,嘉義市,10020,東區,10020010,中庄里,004,10020010-004,東區中庄里,A2001-004-00,346352.5018
18,嘉義市,10020,西區,10020020,香湖里,001,10020020-001,西區香湖里,A2002-001-00,835948.5585
19,嘉義市,10020,東區,10020010,頂庄里,005,10020010-005,東區頂庄里,A2001-005-00,639619.3927
20,嘉義市,10020,西區,10020020,下埤里,013,10020020-013,西區下埤里,A2002-013-00,1495491.4974
21,嘉義市,10020,東區,10020010,義教里,068,10020010-068,東區義教里,A2001-068-00,238951.1288
22,嘉義市,10020,東區,10020010,新店里,035,10020010-035,東區新店里,A2001-035-00,756664.8835
23,嘉義市,10020,東區,10020010,仁義里,003,10020010-003,東區仁義里,A2001-003-00,259740.3278
